Nama Kolom,Tipe Data,Satuan,Deskripsi,Sumber,Boleh Null
YEAR,int,Tahun,Tahun perekaman data,NASA POWER,Tidak
MO,int,Bulan,Bulan perekaman data (1–12),NASA POWER,Tidak
DY,int,Hari,Tanggal perekaman data (1–31),NASA POWER,Tidak
HR,int,Jam (0–23),Jam dalam sehari (0–23),NASA POWER,Tidak
ALLSKY_SFC_UVA,float,MJ/hr,Iradiasi UVA permukaan langit (All Sky),NASA POWER,Tidak
ALLSKY_SFC_UVB,float,MJ/hr,Iradiasi UVB permukaan langit (All Sky),NASA POWER,Tidak
ALLSKY_SFC_UV_INDEX,float,W m-2 x 40,Indeks UV permukaan langit (All Sky),NASA POWER,Tidak
T2M,float,°C,Suhu udara pada ketinggian 2 meter,NASA POWER,Tidak
WS2M,float,m/s,Kecepatan angin pada ketinggian 2 meter,NASA POWER,Tidak
RH2M,float,%,Kelembapan relatif pada ketinggian 2 meter,NASA POWER,Tidak
LOKASI,str,—,"Nama lokasi: Bali, Lombok, Raja Ampat",Manual,Tidak
DATETIME,datetime,YYYY-MM-DD HH:MM,"Timestamp gabungan dari YEAR, MO, DY, HR",Feature Engineering,Tidak
JAM_KATEGORI,category,—,Kategori waktu: Dini Hari/Pagi/Siang/Sore/Malam,Feature Engineering,Tidak
IS_DAYTIME,int,0/1,"1 jika jam 6–17 (siang), 0 jika malam",Feature Engineering,Tidak
BULAN,int,1–12,Bulan dalam setahun (sama dengan MO),Feature Engineering,Tidak
MUSIM,str,—,Musim: Hujan/Kemarau/Peralihan,Feature Engineering,Tidak
DURASI_AMAN_MENIT,float,menit (0–120),"TARGET MODEL: estimasi durasi aman berjemur (SED, cap 120 menit)",Feature Engineering (Formula SED),Tidak
LABEL_AMAN,int,0/1,"Referensi: 1=Aman (durasi>=10), 0=Tidak Aman — diturunkan di serving API",Feature Engineering (dari DURASI_AMAN_MENIT),Tidak
